fold,audio_file,begin_time,end_time,label,probability,error_type
1,FFL-Annotations/Audio/TRIAL15_HAWK_21JUN2024_VILLAANA_MADREDEDIOS.wav,28.0,30.0,MYSP_C1,0.5437946228652909,false_positive
1,FFL-Annotations/Audio/TRIAL15_HAWK_21JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,MYSP_C1,0.5436032235739263,false_positive
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,MYSP_C1,0.5540337179710243,false_positive
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,MYSP_C1,0.5771213321194607,false_positive
1,FFL-Annotations/Audio/TRIAL3_HAWK_13JUN2024_VILLAANA_MADREDEDIOS.wav,20.0,22.0,MYSP_C1,0.6570019135493225,false_positive
1,FFL-Annotations/Audio/TRIAL3_HAWK_13JUN2024_VILLAANA_MADREDEDIOS.wav,54.0,56.0,MYSP_C1,0.5653555130915495,false_positive
1,FFL-Annotations/Audio/TRIAL3_HAWK_13JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,MYSP_C1,0.5041851569800049,false_positive
1,FFL-Annotations/Audio/TRIAL3_HAWK_13JUN2024_VILLAANA_MADREDEDIOS.wav,58.0,60.0,MYSP_C1,0.7847037826013529,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,MYSP_C1,0.5658194941374591,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,42.0,44.0,MYSP_C1,0.501457808559778,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,52.0,54.0,MYSP_C1,0.5694696473602752,false_positive
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,8.0,10.0,MYSP_C1,0.29334403773568135,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,10.0,12.0,MYSP_C1,0.4855606291402552,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,MYSP_C1,0.371216339992329,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,22.0,24.0,MYSP_C1,0.525273446789249,false_positive
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,MYSP_C1,0.257948472438177,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,MYSP_C1,0.311595940506844,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,38.0,40.0,MYSP_C1,0.1892426646564757,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,40.0,42.0,MYSP_C1,0.29508583442079656,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,MYSP_C1,0.4429764901780032,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,MYSP_C1,0.18118879773004878,false_negative
1,FFL-Annotations/Audio/TRIAL8_MODEL_16JUN2024_VILLAANA_MADREDEDIOS.wav,58.0,60.0,MYSP_C1,0.24918791203966997,false_negative
1,FFL-Annotations/Audio/TRIAL18_HAWK_23JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,THAR_P2,0.34756221449850055,false_negative
1,FFL-Annotations/Audio/TRIAL18_HAWK_23JUN2024_VILLAANA_MADREDEDIOS.wav,2.0,4.0,THAR_P2,0.2251931202806701,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,58.0,60.0,THAR_P2,0.5381105550146686,false_positive
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,THAR_P2,0.6270670566569012,false_positive
1,FFL-Annotations/Audio/TRIAL12_HAWK_18JUN2024_VILLAANA_MADREDEDIOS.wav,6.0,8.0,MYLO_C2,0.7715444904427332,false_positive
1,FFL-Annotations/Audio/TRIAL12_HAWK_18JUN2024_VILLAANA_MADREDEDIOS.wav,16.0,18.0,MYLO_C2,0.6946561845007846,false_positive
1,FFL-Annotations/Audio/TRIAL12_HAWK_18JUN2024_VILLAANA_MADREDEDIOS.wav,24.0,26.0,MYLO_C2,0.6769228938688474,false_positive
1,FFL-Annotations/Audio/TRIAL12_HAWK_18JUN2024_VILLAANA_MADREDEDIOS.wav,30.0,32.0,MYLO_C2,0.6149862669782499,false_positive
1,FFL-Annotations/Audio/TRIAL12_HAWK_18JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,MYLO_C2,0.5866227967575196,false_positive
